Key,Value
auto_entreprise_simulation_cta,"Envie de simuler vosrevenus ?Faire une simulationAppelez-nous, envoyez-nous un e-mail ou remplissez le formulaire de contact et nous vous répondrons.Faire une simulationPrendre un rendez-vousAppelez-nous, envoyez-nous un e-mail ou remplissez le formulaire de contact et nous vous répondrons.Prendre un rendez-vous"
gestion_societe_description,Nos missionsCréation et gestion desocièté
gestion_societe_presentation,"Présentation du pole expertise comptableOPTIM Finance est dotée d’un pôle d’expertise comptable et de commissariat aux comptes, avec une grande expérience et un savoir-faire.Ce pôle d’expertise comptable et de commissariat aux comptes permet à OPTIM Finance de proposer ses services en la matière et de se donner la latitude et l’autonomie nécessaires pour concevoir des solutions d’optimisation sur mesure."
gestion_societe_expert,"Nos ExpertsL’expert-comptable encadre non seulement l’organisation générale, administrative et comptable de l’entreprise mais à travers ses connaissances en finance, fiscalité ainsi qu’en matière juridique, il peut aussi détenir le rôle de conseiller au sein de votre entreprise."
gestion_societe_definition_1,"Création d'entrepriseA travers son expérience, sa qualité de travail et sa formation pluridisciplinaire, notre expert-comptable vous accompagne dans les différentes étapes de création de votre entreprise, son optimisation ainsi que sa gestion au quotidien."
gestion_societe_services,"Nos servicesCréation d'entrepriseNos conseils portent sur le choix de la structure juridique, ainsi que sur l’analyse de votre business plan. Nous vous proposons aussi un accompagnement personnalisé depuis la rédaction des statuts à l’obtention du Kbis.Comptabilité et fiscalité*Tenue comptable : Prise en charge de l’établissement des comptes annuels, note de frais, saisie des factures et de nombreuses déclarations nécessaires dans les délais requis.*Optimisation fiscale : vos profits sont notre objectif, nous mettons en place pour vous les stratégies nécessaires pour vous permettre une diminution des charges et impôts en toute légalité.Gestion sociale et juridique*Le droit du travail ne cesse d’évoluer c’est pourquoi en tant que professionnel nous vous prodiguons les conseils nécessaires à la bonne application de la législation et de la réglementation du travail.*Nous prenons en charge l’élaboration des fiches de paies, des contrats de travail ainsi que les déclarations sociales.ConseilNotre objectif premier étant le développement et la réussite de votre entreprise, un suivi permanent vous est fourni afin de vous apporter les bons conseils."
gestion_societe_simulation_cta,"Envie de simuler vosrevenus ?Faire une simulationAppelez-nous, envoyez-nous un e-mail ou remplissez le formulaire de contact et nous vous répondrons.Faire une simulationPrendre un rendez-vousAppelez-nous, envoyez-nous un e-mail ou remplissez le formulaire de contact et nous vous répondrons.Prendre un rendez-vous"
documentation_search_section,DocumentationDocumentationRecherche
documentation_description_totale,"Portage salarialeChargement ...Auto-EnterpriseChargement ...SociéteChargement ...Questions fréquentesDocumentationUn contenu pertinent et diversifié soignesement élaboré pour vous.Chargement ...UI / UX Designer fulltime15 May 2020 9:00 amSelon votre situation et vos contraintes, le Portage salarial, la création d’entreprise ou un parallèle des deux est envisageable, pour optimiser vos revenus, et sécuriser votre parcours.Tag1Tag2Tag3PartagerEnregistrerPrécedent123...10Suivant"
documentation_faq_content,"Questions fréquentesChargement ...Where can I watch? #1Selon votre situation et vos contraintes, le Portage salarial, la création d’entreprise ou un parallèle des deux est envisageable, pour optimiser vos revenus, et sécuriser votre parcours.Where can I watch? #2Selon votre situation et vos contraintes, le Portage salarial, la création d’entreprise ou un parallèle des deux est envisageable, pour optimiser vos revenus, et sécuriser votre parcours.Précedent123...10Suivant"
conditions_utilisation_content,"Bienvenue sur le site web OPTIM Finance. En accédant et en utilisant ce site, vous acceptez de vous conformer aux présentes Conditions d'utilisation.Acceptation des ConditionsLes présentes Conditions d'utilisation s'appliquent à tous les utilisateurs du site, y compris, sans s'y limiter, les visiteurs, les clients, les partenaires et toute personne accédant au contenu ou aux services offerts.Accès au SiteNous nous efforçons de maintenir le site accessible 24/7. Toutefois, nous ne pouvons garantir une accessibilité ininterrompue en cas de maintenance technique, de mise à jour ou d'autres raisons indépendantes de notre volonté.Utilisation du SiteVous vous engagez à utiliser le site dans le respect des lois et règlements en vigueur et à ne pas compromettre sa sécurité, endommager ses fonctionnalités ou perturber les autres utilisateurs. Toute utilisation abusive ou détournée des fonctionnalités du site pourra entraîner des poursuites et/ou une restriction d'accès.Contenu du SiteTout contenu publié sur le site est fourni ""tel quel"", sans garantie d'exactitude, de complétude ou de mise à jour. Nous nous réservons le droit de modifier ou supprimer tout contenu sans préavis.Responsabilités de l'UtilisateurL'utilisateur est seul responsable de l'utilisation qu'il fait du site et s'engage à ne pas utiliser le site à des fins illégales ou interdites par ces Conditions d'utilisation. Vous vous engagez également à ne pas perturber les opérations normales du site.Propriété IntellectuelleTous les éléments présents sur le site (textes, images, logos, etc.) sont protégés par des droits d'auteur, des marques et/ou d'autres lois applicables sur la propriété intellectuelle. Toute reproduction, distribution ou modification sans notre autorisation écrite est strictement interdite.Liens HypertextesNotre site peut contenir des liens vers des sites tiers. Nous ne sommes pas responsables du contenu de ces sites externes et leur utilisation relève de la seule responsabilité de l'utilisateur.Limitation de ResponsabilitéNous ne saurions être tenus responsables des dommages directs ou indirects résultant de l'utilisation ou de l'incapacité à utiliser notre site. Cette limitation s'applique également en cas de faute grave ou intentionnelle.Modification des ConditionsNous nous réservons le droit de modifier ces Conditions d'utilisation à tout moment. Les utilisateurs seront informés de toute modification par la mise à jour de cette page, et il est conseillé de la consulter régulièrement.Droit Applicable et Juridiction CompétenteLes présentes Conditions d'utilisation sont régies par la loi [préciser la juridiction applicable]. En cas de litige, et à défaut d'accord amiable, les tribunaux compétents seront ceux de [indiquer la ville/juridiction compétente].ContactPour toute question ou demande concernant ces Conditions d'utilisation, vous pouvez nous contacter à :Email : contact@optim-finance.comTéléphone : +33 1 59 06 80 86"
conditions_utilisation_page_type,Conditions d'utilisation
conditions_utilisation_url,https://www.optim-finance.com/conditions-utilisation.html
politique_confidentialite_content,"Politique de confidentialitéBienvenue sur la page de la politique de confidentialité de OPTIM Finance. Nous prenons la protection de vos données personnelles très au sérieux et nous nous engageons à garantir leur sécurité et leur confidentialité conformément à la réglementation en vigueur, notamment le Règlement Général sur la Protection des Données (RGPD).Données CollectéesDonnées collectées automatiquementLors de votre navigation sur notre site OPTIM Finance, certaines données peuvent être collectées automatiquement, telles que : l’adresse IP, le type de navigateur utilisé, les pages visitées, etc.Données fournies volontairementVous pouvez être amené à fournir des informations personnelles, telles que votre nom, votre adresse e-mail ou d'autres informations via des formulaires de contact, d'inscription ou de demande de services.Utilisation des Données CollectéesLes données collectées peuvent être utilisées pour :Fournir et améliorer nos services.Répondre à vos demandes ou questions.Assurer le bon fonctionnement de notre site web.Vous envoyer des informations ou des offres, sous réserve de votre consentement.Partage des DonnéesNous nous engageons à ne pas vendre, louer ou céder vos données personnelles à des tiers sans votre accord, sauf si requis par la loi ou dans le cadre de la prestation de nos services (ex : partenaires techniques ou prestataires).Durée de Conservation des DonnéesVos données seront conservées pour une durée limitée, en fonction de la finalité du traitement et des exigences légales en vigueur.Vos DroitsEn tant qu'utilisateur, vous disposez des droits suivants :Droit d'accès: obtenir la confirmation que des données vous concernant sont traitées.Droit de rectification: corriger les données inexactes.Droit d'opposition: refuser le traitement de certaines données.Droit à la limitation du traitement: restreindre le traitement dans certains cas.Droit à la portabilité des données: recevoir vos données dans un format structuré.Cookies et Technologies SimilairesNotre site utilise des cookies pour améliorer votre expérience utilisateur et analyser le trafic du site. Vous pouvez gérer vos préférences en matière de cookies via votre navigateur.Sécurité des DonnéesNous mettons en place des mesures de sécurité appropriées pour protéger vos données contre les accès non autorisés, l'altération, la divulgation ou la destruction.ContactPour toute question concernant cette politique de confidentialité, vous pouvez nous contacter à :Email : contact@optim-finance.comTéléphone : +33 1 59 06 80 86Modifications de la Politique de ConfidentialitéNous nous réservons le droit de modifier cette politique de confidentialité à tout moment. Les modifications seront publiées sur cette page et prendront effet dès leur publication."
politique_confidentialite_page_type,Politique de confidentialité
politique_confidentialite_url,https://www.optim-finance.com/politique-de-confidentialite.html
